1	0	1300
1	1	33
1	2	165
1	3	1316
1	4	1528
1	5	1123
1	6	30
1	7	24
2	0	1300
2	1	33
2	2	165
2	3	1316
2	4	1528
2	5	1123
2	6	30
2	7	24
3	0	1300
3	1	33
3	2	165
3	3	1558
3	4	1528
3	5	1404
3	6	30
3	7	24
4	0	1300
4	1	33
4	2	165
4	3	1558
4	4	1528
4	5	1404
4	6	30
4	7	24
5	0	1300
5	1	33
5	2	165
5	3	1558
5	4	1528
5	5	1404
5	6	30
5	7	24
6	0	1300
6	1	33
6	2	165
6	3	1558
6	4	1528
6	5	1404
6	6	30
6	7	24
7	0	1300
7	1	33
7	2	165
7	3	1558
7	4	1528
7	5	1404
7	6	30
7	7	24
8	0	1300
8	1	33
8	2	165
8	3	1558
8	4	1528
8	5	1404
8	6	30
8	7	25
9	0	1300
9	1	33
9	2	165
9	3	1558
9	4	1528
9	5	1404
9	6	30
9	7	25
10	0	1585
10	1	33
10	2	165
10	3	1558
10	4	1528
10	5	1404
10	6	30
10	7	25
11	0	1585
11	1	33
11	2	165
11	3	1558
11	4	1528
11	5	1404
11	6	30
11	7	25
12	0	1585
12	1	33
12	2	165
12	3	1558
12	4	1528
12	5	1404
12	6	30
12	7	25
13	0	1585
13	1	33
13	2	165
13	3	1558
13	4	1528
13	5	1404
13	6	30
13	7	25
14	0	1585
14	1	33
14	2	165
14	3	1558
14	4	1528
14	5	1404
14	6	26
14	7	25
15	0	1585
15	1	33
15	2	165
15	3	1558
15	4	1528
15	5	1404
15	6	26
15	7	25
16	0	1585
16	1	33
16	2	165
16	3	1558
16	4	1528
16	5	1404
16	6	26
16	7	25
17	0	1585
17	1	33
17	2	165
17	3	1558
17	4	1528
17	5	1404
17	6	26
17	7	25
18	0	1585
18	1	33
18	2	165
18	3	1558
18	4	1528
18	5	1404
18	6	26
18	7	25
19	0	1585
19	1	33
19	2	165
19	3	1558
19	4	1528
19	5	1404
19	6	26
19	7	25
20	0	1585
20	1	33
20	2	165
20	3	1558
20	4	1528
20	5	1404
20	6	26
20	7	25
21	0	1585
21	1	33
21	2	165
21	3	1558
21	4	1528
21	5	1404
21	6	26
21	7	25
22	0	1585
22	1	33
22	2	165
22	3	1558
22	4	1570
22	5	1404
22	6	26
22	7	25
23	0	1585
23	1	33
23	2	165
23	3	1558
23	4	1570
23	5	1404
23	6	26
23	7	25
24	0	1585
24	1	33
24	2	165
24	3	1558
24	4	1520
24	5	1404
24	6	26
24	7	25
25	0	1585
25	1	33
25	2	165
25	3	1558
25	4	1520
25	5	1404
25	6	26
25	7	25
26	0	1585
26	1	33
26	2	165
26	3	1558
26	4	1520
26	5	1404
26	6	26
26	7	25
27	0	1585
27	1	33
27	2	165
27	3	1558
27	4	1520
27	5	1404
27	6	26
27	7	25
28	0	1585
28	1	33
28	2	165
28	3	1558
28	4	1520
28	5	1404
28	6	26
28	7	25
29	0	1585
29	1	33
29	2	165
29	3	1558
29	4	1520
29	5	1404
29	6	26
29	7	25
30	0	1585
30	1	33
30	2	165
30	3	1558
30	4	1570
30	5	1404
30	6	26
30	7	25
31	0	1585
31	1	33
31	2	165
31	3	1558
31	4	1570
31	5	1404
31	6	37
31	7	25
32	0	1585
32	1	33
32	2	165
32	3	1558
32	4	1570
32	5	1404
32	6	37
32	7	25
33	0	1585
33	1	33
33	2	165
33	3	1558
33	4	1570
33	5	1404
33	6	37
33	7	25
34	0	1585
34	1	33
34	2	165
34	3	1558
34	4	1585
34	5	1404
34	6	37
34	7	25
35	0	1585
35	1	33
35	2	165
35	3	1558
35	4	1585
35	5	1360
35	6	36
35	7	25
36	0	1585
36	1	33
36	2	165
36	3	1558
36	4	1585
36	5	1360
36	6	36
36	7	25
37	0	1585
37	1	33
37	2	165
37	3	1558
37	4	1585
37	5	1360
37	6	36
37	7	25
38	0	1585
38	1	33
38	2	165
38	3	1558
38	4	1585
38	5	1360
38	6	36
38	7	25
39	0	1585
39	1	33
39	2	165
39	3	1558
39	4	1585
39	5	1360
39	6	36
39	7	3
40	0	1585
40	1	33
40	2	165
40	3	1558
40	4	1585
40	5	1360
40	6	36
40	7	3
41	0	1585
41	1	33
41	2	165
41	3	1558
41	4	1585
41	5	1360
41	6	36
41	7	3
42	0	1585
42	1	33
42	2	165
42	3	1558
42	4	1585
42	5	1360
42	6	36
42	7	3
43	0	1585
43	1	33
43	2	165
43	3	1558
43	4	1585
43	5	1360
43	6	36
43	7	3
44	0	1585
44	1	33
44	2	165
44	3	1558
44	4	1585
44	5	1360
44	6	36
44	7	3
45	0	1585
45	1	33
45	2	165
45	3	1558
45	4	1585
45	5	1360
45	6	36
45	7	3
46	0	1585
46	1	33
46	2	165
46	3	1558
46	4	1585
46	5	1360
46	6	36
46	7	3
47	0	1585
47	1	33
47	2	165
47	3	1558
47	4	1585
47	5	1360
47	6	36
47	7	3
48	0	1585
48	1	33
48	2	165
48	3	1558
48	4	1585
48	5	1360
48	6	36
48	7	3
49	0	1585
49	1	38
49	2	165
49	3	1558
49	4	1585
49	5	1360
49	6	36
49	7	3
50	0	1585
50	1	38
50	2	165
50	3	1558
50	4	1585
50	5	1360
50	6	36
50	7	3
51	0	1585
51	1	38
51	2	165
51	3	1558
51	4	1585
51	5	1360
51	6	36
51	7	3
52	0	1585
52	1	38
52	2	165
52	3	1558
52	4	1585
52	5	1360
52	6	36
52	7	3
53	0	1585
53	1	38
53	2	165
53	3	1558
53	4	1585
53	5	1360
53	6	36
53	7	3
54	0	1585
54	1	38
54	2	201
54	3	1558
54	4	1585
54	5	1360
54	6	36
54	7	3
55	0	1585
55	1	38
55	2	201
55	3	1558
55	4	1585
55	5	1360
55	6	36
55	7	3
56	0	1585
56	1	38
56	2	201
56	3	1558
56	4	1585
56	5	1360
56	6	36
56	7	3
57	0	1585
57	1	38
57	2	201
57	3	1558
57	4	1585
57	5	1360
57	6	36
57	7	3
58	0	1585
58	1	38
58	2	201
58	3	1599
58	4	1586
58	5	1360
58	6	33
58	7	3
59	0	1585
59	1	38
59	2	201
59	3	1599
59	4	1586
59	5	1360
59	6	33
59	7	3
60	0	1585
60	1	38
60	2	201
60	3	1599
60	4	1586
60	5	1360
60	6	33
60	7	3
61	0	1585
61	1	38
61	2	201
61	3	1599
61	4	1586
61	5	1360
61	6	33
61	7	3
62	0	1585
62	1	38
62	2	201
62	3	1599
62	4	1586
62	5	1360
62	6	33
62	7	3
63	0	1585
63	1	38
63	2	201
63	3	1599
63	4	1586
63	5	1360
63	6	33
63	7	3
64	0	1585
64	1	38
64	2	201
64	3	1599
64	4	1586
64	5	1360
64	6	33
64	7	3
65	0	1585
65	1	38
65	2	201
65	3	1599
65	4	1586
65	5	1360
65	6	33
65	7	3
66	0	1585
66	1	38
66	2	201
66	3	1599
66	4	1586
66	5	1360
66	6	33
66	7	3
67	0	1585
67	1	38
67	2	201
67	3	1599
67	4	1586
67	5	1360
67	6	33
67	7	3
68	0	1585
68	1	38
68	2	201
68	3	1599
68	4	1586
68	5	1360
68	6	33
68	7	3
69	0	1585
69	1	38
69	2	201
69	3	1599
69	4	1586
69	5	1360
69	6	33
69	7	3
70	0	1585
70	1	38
70	2	201
70	3	1599
70	4	1586
70	5	1360
70	6	33
70	7	3
71	0	1585
71	1	38
71	2	201
71	3	1599
71	4	1586
71	5	1360
71	6	33
71	7	3
72	0	1585
72	1	38
72	2	201
72	3	1599
72	4	1586
72	5	1360
72	6	33
72	7	3
73	0	1585
73	1	38
73	2	201
73	3	1599
73	4	1586
73	5	1360
73	6	33
73	7	3
74	0	1585
74	1	38
74	2	201
74	3	1599
74	4	1586
74	5	1360
74	6	33
74	7	3
75	0	1585
75	1	38
75	2	201
75	3	1599
75	4	1586
75	5	1360
75	6	33
75	7	3
76	0	1585
76	1	38
76	2	201
76	3	1599
76	4	1586
76	5	1360
76	6	36
76	7	3
77	0	1585
77	1	38
77	2	201
77	3	1599
77	4	1586
77	5	1360
77	6	36
77	7	3
78	0	1585
78	1	79
78	2	201
78	3	1599
78	4	1586
78	5	1560
78	6	36
78	7	3
79	0	1585
79	1	79
79	2	201
79	3	1599
79	4	1586
79	5	1560
79	6	36
79	7	3
80	0	1585
80	1	79
80	2	160
80	3	1599
80	4	1586
80	5	1560
80	6	36
80	7	3
81	0	1585
81	1	79
81	2	160
81	3	1599
81	4	1588
81	5	1560
81	6	36
81	7	3
82	0	1585
82	1	79
82	2	160
82	3	1599
82	4	1589
82	5	1560
82	6	36
82	7	3
83	0	1585
83	1	79
83	2	160
83	3	1599
83	4	1589
83	5	1560
83	6	36
83	7	3
84	0	1585
84	1	79
84	2	160
84	3	1599
84	4	1589
84	5	1560
84	6	36
84	7	36
85	0	1585
85	1	79
85	2	160
85	3	1599
85	4	1589
85	5	1560
85	6	36
85	7	36
86	0	1585
86	1	79
86	2	160
86	3	1599
86	4	1589
86	5	1560
86	6	36
86	7	36
87	0	1585
87	1	79
87	2	160
87	3	1599
87	4	1589
87	5	1560
87	6	39
87	7	39
88	0	1585
88	1	79
88	2	160
88	3	1599
88	4	1589
88	5	1560
88	6	39
88	7	39
89	0	1585
89	1	79
89	2	160
89	3	1599
89	4	1589
89	5	1560
89	6	39
89	7	39
90	0	1585
90	1	79
90	2	160
90	3	1599
90	4	1589
90	5	1560
90	6	39
90	7	39
91	0	1585
91	1	79
91	2	160
91	3	1599
91	4	1589
91	5	1560
91	6	39
91	7	39
92	0	1585
92	1	79
92	2	160
92	3	1599
92	4	1589
92	5	1560
92	6	39
92	7	39
93	0	1585
93	1	79
93	2	160
93	3	1599
93	4	1589
93	5	1560
93	6	39
93	7	39
94	0	1585
94	1	79
94	2	160
94	3	1599
94	4	1589
94	5	1560
94	6	39
94	7	39
95	0	1585
95	1	79
95	2	160
95	3	1599
95	4	1589
95	5	1560
95	6	39
95	7	39
96	0	1585
96	1	79
96	2	160
96	3	1599
96	4	1589
96	5	1560
96	6	39
96	7	39
97	0	1585
97	1	79
97	2	160
97	3	1599
97	4	1589
97	5	1560
97	6	39
97	7	39
98	0	1585
98	1	79
98	2	160
98	3	1599
98	4	1589
98	5	1560
98	6	39
98	7	39
99	0	1585
99	1	79
99	2	160
99	3	1599
99	4	1589
99	5	1560
99	6	39
99	7	39
100	0	1585
100	1	79
100	2	160
100	3	1599
100	4	1589
100	5	1560
100	6	39
100	7	39
101	0	1585
101	1	79
101	2	160
101	3	1599
101	4	1589
101	5	1560
101	6	39
101	7	39
102	0	1585
102	1	79
102	2	160
102	3	1599
102	4	1589
102	5	1560
102	6	39
102	7	39
103	0	1585
103	1	79
103	2	160
103	3	1599
103	4	1589
103	5	1560
103	6	39
103	7	39
104	0	1585
104	1	79
104	2	160
104	3	1599
104	4	1589
104	5	1560
104	6	39
104	7	39
105	0	1585
105	1	79
105	2	160
105	3	1599
105	4	1589
105	5	1560
105	6	39
105	7	39
106	0	1585
106	1	79
106	2	160
106	3	1599
106	4	1589
106	5	1560
106	6	39
106	7	39
107	0	1585
107	1	79
107	2	160
107	3	1599
107	4	1589
107	5	1560
107	6	39
107	7	39
108	0	1585
108	1	79
108	2	160
108	3	1599
108	4	1589
108	5	1560
108	6	39
108	7	39
109	0	1585
109	1	79
109	2	160
109	3	1599
109	4	1589
109	5	1560
109	6	39
109	7	39
110	0	1585
110	1	79
110	2	160
110	3	1599
110	4	1589
110	5	1560
110	6	39
110	7	39
111	0	1585
111	1	79
111	2	79
111	3	1599
111	4	1589
111	5	1560
111	6	39
111	7	39
112	0	1585
112	1	79
112	2	79
112	3	1599
112	4	1589
112	5	1560
112	6	39
112	7	39
113	0	1585
113	1	79
113	2	79
113	3	1599
113	4	1589
113	5	1560
113	6	39
113	7	39
114	0	1585
114	1	79
114	2	79
114	3	1599
114	4	1591
114	5	1560
114	6	39
114	7	39
115	0	1585
115	1	79
115	2	79
115	3	1599
115	4	1591
115	5	1560
115	6	39
115	7	39
116	0	1585
116	1	79
116	2	79
116	3	1599
116	4	1591
116	5	1560
116	6	39
116	7	39
117	0	1585
117	1	79
117	2	79
117	3	1599
117	4	1591
117	5	1560
117	6	39
117	7	39
118	0	1585
118	1	79
118	2	79
118	3	1599
118	4	1591
118	5	1560
118	6	39
118	7	39
119	0	1585
119	1	79
119	2	79
119	3	1599
119	4	1591
119	5	1560
119	6	39
119	7	39
120	0	1585
120	1	79
120	2	79
120	3	1599
120	4	1591
120	5	1360
120	6	39
120	7	39
121	0	1585
121	1	79
121	2	79
121	3	1599
121	4	1591
121	5	1360
121	6	39
121	7	39
122	0	1585
122	1	79
122	2	79
122	3	1599
122	4	1591
122	5	1360
122	6	39
122	7	39
123	0	1585
123	1	79
123	2	79
123	3	1599
123	4	1591
123	5	1080
123	6	39
123	7	39
124	0	1585
124	1	79
124	2	79
124	3	1599
124	4	1591
124	5	1080
124	6	39
124	7	39
125	0	1585
125	1	79
125	2	79
125	3	1599
125	4	1592
125	5	1000
125	6	39
125	7	39
126	0	1585
126	1	79
126	2	79
126	3	1599
126	4	1592
126	5	1000
126	6	39
126	7	39
127	0	1585
127	1	79
127	2	79
127	3	1599
127	4	1592
127	5	1000
127	6	39
127	7	39
128	0	1585
128	1	79
128	2	79
128	3	1599
128	4	1592
128	5	1000
128	6	39
128	7	39
129	0	1585
129	1	79
129	2	79
129	3	1599
129	4	1592
129	5	1000
129	6	39
129	7	39
130	0	1585
130	1	79
130	2	79
130	3	1599
130	4	1592
130	5	1000
130	6	39
130	7	39
131	0	1585
131	1	79
131	2	79
131	3	1599
131	4	1592
131	5	1000
131	6	39
131	7	39
132	0	1585
132	1	79
132	2	79
132	3	1599
132	4	1592
132	5	1000
132	6	39
132	7	39
133	0	1585
133	1	79
133	2	79
133	3	1599
133	4	1592
133	5	1000
133	6	39
133	7	3
134	0	1585
134	1	79
134	2	79
134	3	1599
134	4	1592
134	5	1000
134	6	39
134	7	3
135	0	1585
135	1	79
135	2	79
135	3	1599
135	4	1592
135	5	1000
135	6	39
135	7	3
136	0	1585
136	1	79
136	2	79
136	3	1599
136	4	1592
136	5	640
136	6	39
136	7	3
137	0	1585
137	1	79
137	2	79
